regression_bug_id,regression_perf_tests
1945465,"['ContentfulSpeedIndex', 'LastVisualChange', 'LastVisualChange', 'largestContentfulPaint', 'PerceptualSpeedIndex', 'largestContentfulPaint', 'SpeedIndex', 'React-Stockcharts-SVG/PanTheChart/Sync', 'LastVisualChange', 'powerUsage_cpu_package', 'React-Stockcharts-SVG/PanTheChart/total', 'largestContentfulPaint', 'PerceptualSpeedIndex', 'ContentfulSpeedIndex', 'SpeedIndex', 'ContentfulSpeedIndex', 'powerUsage_cpu_cores', 'PerceptualSpeedIndex', 'SpeedIndex']"
1942774,"['complicated.jsdebugger.open.DAMP', 'custom.jsdebugger.open.DAMP']"
1942775,['issue15139.pdf']
1942769,"['words-per-second', 'total-translation-time', 'tokens-per-second', 'total-translation-time', 'words-per-second', 'tokens-per-second']"
1942615,"['num_static_constructors', 'num_static_constructors', 'num_static_constructors', 'num_static_constructors']"
1942628,['Images']
1942266,"['', '']"
1942029,"['', '']"
1941873,"['num_static_constructors', 'num_static_constructors']"
1942268,['base64-SP-Average']
1934856,[]
1940991,['']
1916679,"['Tabs closed [+30s, forced GC]']"
1325876,"['Tabs closed [+30s, forced GC]']"
1939579,[]
1665056,"['largestContentfulPaint', 'FirstVisualChange', 'loadtime', 'SpeedIndex']"
1939018,"['PerceptualSpeedIndex', 'SpeedIndex', 'ContentfulSpeedIndex']"
1883321,['']
1937780,['num_static_constructors']
1937804,['']
1388910,['Editor-TipTap/Highlight/Sync']
1936754,['TodoMVC-Svelte-Complex-DOM/CompletingAllItems/Sync']
1936489,['fcp']
1936233,['']
1769586,['objects-with-stacks']
1935126,"['TodoMVC-React-Complex-DOM/Adding100Items/Async', 'TodoMVC-Angular-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Angular-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Svelte-Complex-DOM/total', 'TodoMVC-React-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Preact-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-Svelte-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Lit-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-React-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-Svelte-Complex-DOM/Adding100Items/total', 'TodoMVC-Lit-Complex-DOM/CompletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/Adding100Items/Async', 'TodoMVC-Preact-Complex-DOM/Adding100Items/total', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-Angular-Complex-DOM/CompletingAllItems/total', 'TodoMVC-React-Complex-DOM/CompletingAllItems/total', 'TodoMVC-Angular-Complex-DOM/total', 'TodoMVC-Svelte-Complex-DOM/CompletingAllItems/total', 'TodoMVC-Preact-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/Adding100Items/Async', 'TodoMVC-Preact-Complex-DOM/total', 'TodoMVC-Lit-Complex-DOM/Adding100Items/total', 'TodoMVC-Angular-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-Angular-Complex-DOM/DeletingAllItems/total', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/DeletingAllItems/total', 'TodoMVC-React-Complex-DOM/Adding100Items/total', 'TodoMVC-Angular-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-React-Complex-DOM/total', 'TodoMVC-React-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Lit-Complex-DOM/total', 'TodoMVC-Svelte-Complex-DOM/Adding100Items/Async', 'TodoMVC-Preact-Complex-DOM/CompletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/Adding100Items/total', 'TodoMVC-Preact-Complex-DOM/Adding100Items/Async', 'TodoMVC-Preact-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Preact-Complex-DOM/total', 'TodoMVC-Angular-Complex-DOM/Adding100Items/Async', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/DeletingAllItems/Async', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/Adding100Items/Async', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Svelte-Complex-DOM/DeletingAllItems/Async']"
1934578,['ContentfulSpeedIndex']
1934503,['Charts-chartjs/Show tooltip/Async']
1934501,['Editor-TipTap/Highlight/total']
1930651,['NewsSite-Nuxt/NavigateToWorld/Sync']
1933430,"['', '']"
1933174,[]
1932867,['largestContentfulPaint']
1932838,"['PerceptualSpeedIndex', 'PerceptualSpeedIndex', 'SpeedIndex', 'loadtime', 'powerUsage_cpu_package', 'LastVisualChange', 'ContentfulSpeedIndex', 'SpeedIndex', 'LastVisualChange', 'powerUsage_cpu_package', 'ContentfulSpeedIndex', 'SpeedIndex', 'ContentfulSpeedIndex', 'PerceptualSpeedIndex', 'TodoMVC-Svelte-Complex-DOM/CompletingAllItems/Sync']"
1932349,['EmberJS-TodoMVC/DeletingItems/Async']
1932616,['NewsSite-Nuxt/NavigateToWorld/Sync']
1932110,['']
1932343,['Charts-chartjs/Show tooltip/Sync']
1932342,"['powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package', 'powerUsage_cpu_cores', 'powerUsage_cpu_package', 'powerUsage_cpu_package']"
1932159,"['ContentfulSpeedIndex', 'NewsSite-Next/NavigateToWorld/Sync', 'FirstVisualChange', 'FirstVisualChange', 'NewsSite-Next/NavigateToUS/Sync', 'NewsSite-Nuxt/NavigateToPolitics/Sync', 'NewsSite-Nuxt/NavigateToUS/Sync', 'NewsSite-Nuxt/NavigateToWorld/Sync', 'ContentfulSpeedIndex', 'PerceptualSpeedIndex', 'LastVisualChange']"
1932108,"['', '']"
1931880,"['issue14438.pdf', 'issue15012.pdf', 'issue1721.pdf', 'issue14685.pdf', 'issue14438.pdf', 'issue3062.pdf']"
1927093,['']
1918702,['']
1918226,['']
1922217,['']
1918702,['']
1920230,"['', '']"
1921751,"['', '']"
1918702,"['', '']"
1918702,"['', '']"
1922553,"['', '']"
1594368,"['', '']"
1893966,"['', '']"
1931487,['Charts-chartjs/Show tooltip/Sync']
1931486,[]
1929854,['cpuTimePageload']
1929533,"['', '']"
1909343,['']
1925181,"['TodoMVC-jQuery/Adding100Items/total', 'TodoMVC-Preact-Complex-DOM/Adding100Items/Sync', 'TodoMVC-Svelte-Complex-DOM/total', 'TodoMVC-Svelte-Complex-DOM/Adding100Items/Sync', 'TodoMVC-jQuery/Adding100Items/Sync', 'TodoMVC-Preact-Complex-DOM/DeletingAllItems/Async']"
1927691,"['Vanilla-ES2015-Babel-Webpack-TodoMVC/CompletingAllItems', 'Vanilla-ES2015-Babel-Webpack-TodoMVC/DeletingItems/Sync']"
1927697,[]
1927120,['loadtime']
1929201,[]
1917685,"['', '']"
1927505,['']
1927476,['']
1926981,"['xfa_issue14150.pdf', 'xfa_issue13584.pdf', 'xfa_bug1722038.pdf', 'xfa_issue13994.pdf', 'xfa_issue13597.pdf', 'xfa_issue13679.pdf', 'xfa_issue13855.pdf', 'xfa_issue13556.pdf', 'xfa_bug1717668_3.pdf', 'xfa_bug1717681.pdf', 'xfa_imm1344e.pdf', 'xfa_bug1718725.pdf', 'xfa_bug1718521_1.pdf', 'xfa_bug1716809.pdf', 'xfa_issue13611.pdf', 'visibility_expressions.pdf', 'xfa_bug1717668_4.pdf', 'xfa_bug1718741.pdf', 'simpletype3font.pdf', 'issue6066.pdf', 'xfa_candidate_petitions.pdf', 'annotation-as.pdf', 'xfa_annual_expense_report.pdf', 'xfa_bug1721600.pdf', 'xfa_bug1720888.pdf', 'xfa_hsbc_closure.pdf', 'issue5567.pdf', 'xfa_imm1295e.pdf', 'xfa_annual_voting_survey.pdf', 'xfa_issue13668.pdf', 'xfa_issue13213.pdf', 'bug1123803.pdf', 'issue3351.2.pdf', 'issue17169.pdf', 'issue15139.pdf', 'xfa_bug1717668_2.pdf', 'xfa_fish_licence.pdf', 'xfa_bug1729877.pdf', 'xfa_issue13631.pdf', 'xfa_bug1718053.pdf', 'xfa_filled_imm1344e.pdf', 'xfa_bug1717668_1.pdf', 'xfa_issue13634.pdf', 'xfa_issue14144.pdf', 'xfa_bug1716380.pdf', 'xfa_bug1717805.pdf', 'xfa_bug1735738.pdf', 'xfa_bug1718521_3.pdf', 'stamps.pdf', 'xfa_bug1716816.pdf', 'xfa_issue14071.pdf', 'sizes.pdf', 'wdsg_fitc.pdf', 'xfa_bug1716980.pdf', 'tiling-pattern-box.pdf']"
1925921,['Perf-Dashboard/SelectingRange/Sync']
1924663,"['jstracer.server-performance.DAMP', 'jstracer.debugger-sidebar-performance.DAMP', 'jstracer.webconsole-performance.DAMP', 'jstracer.webconsole-performance.DAMP', 'jstracer.server-performance.DAMP', 'jstracer.debugger-sidebar-performance.DAMP', 'jstracer.server-performance.DAMP', 'jstracer.webconsole-performance.DAMP', 'jstracer.debugger-sidebar-performance.DAMP']"
1926569,"['Editor-TipTap/Highlight/Sync', 'Editor-TipTap/Highlight/total', 'Editor-TipTap/total', 'Editor-TipTap/Long/total']"
1925560,"['Charts-chartjs/Show tooltip/Async', 'Charts-chartjs/Show tooltip/total', 'Charts-chartjs/total']"
1926547,['startup_about_home_paint']
1927440,[]
1924102,[]
1923278,['Perf-Dashboard/SelectingRange/Sync']
1922788,"['TodoMVC-JavaScript-ES5/CompletingAllItems/Async', 'TodoMVC-Vue/CompletingAllItems/Async', 'cpuTimePageload', 'TodoMVC-Lit-Complex-DOM/CompletingAllItems/Async', 'TodoMVC-Svelte-Complex-DOM/total', 'TodoMVC-Svelte-Complex-DOM/DeletingAllItems/total', 'TodoMVC-Lit-Complex-DOM/CompletingAllItems/total']"
1921997,"['PerceptualSpeedIndex', 'SpeedIndex', 'PerceptualSpeedIndex', 'FirstVisualChange', 'SpeedIndex', 'loadtime']"
1923032,['']
1921755,[]
1921995,[]
1920678,['']
1920475,"['LastVisualChange', 'LastVisualChange', 'largestContentfulPaint', 'SpeedIndex']"
1905987,['cpuTime']
1920084,"['NewsSite-Next/NavigateToWorld/Sync', 'NewsSite-Next/NavigateToPolitics/Sync', 'NewsSite-Nuxt/NavigateToUS/total', 'NewsSite-Nuxt/NavigateToPolitics/total', 'NewsSite-Nuxt/NavigateToWorld/total', 'NewsSite-Nuxt/NavigateToWorld/Sync', 'NewsSite-Nuxt/NavigateToUS/Sync', 'NewsSite-Next/NavigateToPolitics/total', 'NewsSite-Next/NavigateToWorld/total', 'NewsSite-Nuxt/NavigateToPolitics/Sync', 'NewsSite-Nuxt/total', 'NewsSite-Next/total', 'NewsSite-Next/total', 'NewsSite-Nuxt/NavigateToPolitics/total', 'NewsSite-Next/NavigateToUS/total']"
1919295,['SpeedIndex']
1920082,['TodoMVC-jQuery/Adding100Items/Sync']
1919487,[]
1919716,"['', '']"
1917628,['TodoMVC-Vue/DeletingAllItems/Sync']
1917623,"['VanillaJS-TodoMVC/Adding100Items', 'VanillaJS-TodoMVC', 'Vanilla-ES2015-Babel-Webpack-TodoMVC', 'jQuery-TodoMVC/DeletingAllItems', 'jQuery-TodoMVC/DeletingAllItems/Sync', 'Vanilla-ES2015-TodoMVC', 'Vanilla-ES2015-TodoMVC', 'jQuery-TodoMVC/Adding100Items', 'jQuery-TodoMVC/CompletingAllItems/Async', 'Vanilla-ES2015-Babel-Webpack-TodoMVC/Adding100Items']"
1917207,['LastVisualChange']
1917593,"['', '']"
1916701,['ContentfulSpeedIndex']
1910593,"['PerceptualSpeedIndex', 'ContentfulSpeedIndex', 'SpeedIndex', 'LastVisualChange']"
1916227,['SpeedIndex']
1916240,['FirstVisualChange']
1913880,['issue9679.pdf']
1916233,['FirstVisualChange']
1915384,['TodoMVC-Backbone/CompletingAllItems/Async']
1912262,"['Nth pseudo classes/Removing classes - 4/Async', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/Adding100Items/Sync', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/Adding100Items/total', 'Descendant and child combinators/Adding leaf elements - 0', 'Before and after pseudo elements/Mutating attributes - 4/Async', 'Sibling combinators/Adding leaf elements - 3/Sync', 'Descendant and child combinators/Removing leaf elements - 1/Sync', 'Descendant and child combinators/Adding leaf elements - 1/Sync', 'Descendant and child combinators/Adding leaf elements - 3/Sync', 'Before and after pseudo elements/Adding leaf elements - 2/Sync', 'Descendant and child combinators/Adding leaf elements - 2/Sync', 'Nth pseudo classes/Removing leaf elements - 0/Sync', 'Before and after pseudo elements/Adding classes - 3/Async', 'Structural pseudo classes/Adding leaf elements - 3/Sync', 'Structural pseudo classes/Removing leaf elements - 2/Sync', 'Descendant and child combinators/Adding classes - 3/Async', 'Before and after pseudo elements/Adding leaf elements - 1/Sync', 'Before and after pseudo elements/Adding leaf elements - 2', 'Descendant and child combinators/Adding leaf elements - 0/Sync', 'Before and after pseudo elements/Removing leaf elements - 4', 'Descendant and child combinators/Removing leaf elements - 4/Sync', 'Before and after pseudo elements/Removing leaf elements - 1', 'Before and after pseudo elements/Removing leaf elements - 2', 'Descendant and child combinators/Removing leaf elements - 3/Sync', 'Nth pseudo classes/Adding leaf elements - 3', 'Before and after pseudo elements/Adding leaf elements - 3/Sync', 'Sibling combinators/Removing leaf elements - 2/Sync', 'Structural pseudo classes/Removing leaf elements - 0/Sync', '', 'Descendant and child combinators/Adding leaf elements - 4/Sync', 'Sibling combinators/Removing leaf elements - 0/Sync', 'Before and after pseudo elements/Removing leaf elements - 0', 'Before and after pseudo elements/Removing leaf elements - 3', 'Sibling combinators/Adding leaf elements - 1/Sync', 'Sibling combinators/Adding leaf elements - 0/Sync', 'Nth pseudo classes/Adding leaf elements - 2/Sync', 'Nth pseudo classes/Removing leaf elements - 4/Sync', 'Vanilla-ES2015-TodoMVC/CompletingAllItems', 'Vanilla-ES2015-TodoMVC/CompletingAllItems/Sync', 'Before and after pseudo elements/Adding leaf elements - 0/Sync', 'Descendant and child combinators/Removing leaf elements - 2/Sync', 'Descendant and child combinators/Adding leaf elements - 4', 'Before and after pseudo elements', 'Descendant and child combinators/Removing leaf elements - 4', 'Descendant and child combinators/Adding classes - 3', 'Descendant and child combinators/Removing leaf elements - 1', 'Before and after pseudo elements/Removing leaf elements - 4/Sync', 'Descendant and child combinators/Removing leaf elements - 0/Sync', 'Before and after pseudo elements/Removing leaf elements - 1/Sync', 'Before and after pseudo elements/Adding classes - 3', 'Before and after pseudo elements/Removing leaf elements - 3/Sync', 'Before and after pseudo elements/Removing leaf elements - 2/Sync', 'Before and after pseudo elements/Adding leaf elements - 3', 'Before and after pseudo elements/Adding leaf elements - 4', 'Before and after pseudo elements/Adding leaf elements - 4/Sync', 'Before and after pseudo elements/Adding leaf elements - 1', 'Before and after pseudo elements/Removing leaf elements - 0/Sync', 'Before and after pseudo elements/Mutating attributes - 4', 'Nth pseudo classes/Adding leaf elements - 4/Sync', 'Descendant and child combinators', 'Nth pseudo classes/Adding leaf elements - 1/Sync', 'Nth pseudo classes/Adding leaf elements - 0/Sync', 'Nth pseudo classes/Adding leaf elements - 3/Sync', 'Nth pseudo classes/Removing leaf elements - 1/Sync', 'Nth pseudo classes/Removing leaf elements - 3/Sync', 'Sibling combinators/Removing leaf elements - 1/Sync', 'Structural pseudo classes/Adding leaf elements - 1/Sync', 'Structural pseudo classes/Adding leaf elements - 2/Sync', 'Nth pseudo classes/Removing leaf elements - 2/Sync', 'Sibling combinators/Removing leaf elements - 3/Sync', 'Structural pseudo classes/Adding leaf elements - 0/Sync', 'Sibling combinators/Removing leaf elements - 4/Sync', 'Sibling combinators/Adding leaf elements - 2/Sync', 'Structural pseudo classes/Removing leaf elements - 3/Sync', 'Structural pseudo classes/Removing leaf elements - 4/Sync', 'Structural pseudo classes/Adding leaf elements - 4/Sync', 'Structural pseudo classes/Removing leaf elements - 1/Sync', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/DeletingAllItems/Sync', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/CompletingAllItems/Sync', 'TodoMVC-Svelte-Complex-DOM/DeletingAllItems/Sync', 'TodoMVC-Svelte-Complex-DOM/CompletingAllItems/Sync', 'Descendant and child combinators/Removing leaf elements - 0', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/CompletingAllItems/total', 'TodoMVC-Preact-Complex-DOM/Adding100Items/Sync', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/DeletingAllItems/total', 'TodoMVC-JavaScript-ES6-Webpack-Complex-DOM/total', 'LastVisualChange', 'LastVisualChange', 'Nth pseudo classes/Removing leaf elements - 4', 'Descendant and child combinators/Removing classes - 0/Async', 'Nth pseudo classes/Removing leaf elements - 0', 'Nth pseudo classes/Removing leaf elements - 0/Async', 'Nth pseudo classes/Adding leaf elements - 3/Async', 'Structural pseudo classes/Removing leaf elements - 0', 'Nth pseudo classes/Adding leaf elements - 2', 'Nth pseudo classes/Removing leaf elements - 4/Async', 'Nth pseudo classes/Removing classes - 0/Async', 'Structural pseudo classes/Removing classes - 0/Async', 'Structural pseudo classes/Removing leaf elements - 4', 'Descendant and child combinators/Removing leaf elements - 2', 'Structural pseudo classes/Adding leaf elements - 0', 'Sibling combinators/Removing classes - 0/Async', 'Nth pseudo classes/Adding leaf elements - 0', 'Structural pseudo classes/Adding leaf elements - 0/Async', 'Nth pseudo classes/Adding leaf elements - 2/Async', 'Structural pseudo classes/Adding leaf elements - 2', 'Structural pseudo classes/Adding leaf elements - 2/Async', 'Nth pseudo classes/Adding leaf elements - 0/Async', 'Descendant and child combinators/Adding classes - 1', 'Structural pseudo classes/Adding classes - 3/Async', 'Vanilla-ES2015-Babel-Webpack-TodoMVC/DeletingItems', 'Vanilla-ES2015-Babel-Webpack-TodoMVC/DeletingItems/Async', 'Vanilla-ES2015-Babel-Webpack-TodoMVC']"
1911512,['']
1909012,['loadtime']
1911532,"['Elm-TodoMVC/CompletingAllItems/Sync', 'AngularJS-TodoMVC/DeletingAllItems/Async']"
1910424,"['Editor-TipTap/Long/Async', 'Editor-TipTap/Long/Async']"
1910420,"['Flight-TodoMVC', 'Flight-TodoMVC/CompletingAllItems']"
1910411,"['fcp', 'Editor-TipTap/Highlight/Async']"
1800882,['TodoMVC-Preact-Complex-DOM/CompletingAllItems/Sync']
